"customer_no","age_category","gender","hsien_desc","bs_tag_desc"
"db16263d","51-55歲","女","高雄市","網購社媒手機迷"
"518ee907","46-50歲","女","新北市","獨立愛遊理財新手"
"3f05c6ee","41-45歲","女","嘉義市","獨立愛遊理財新手"
"98a60a9d","56-60歲","男","台北市","運動科技潮人"
"d8c50c95","36-40歲","女","台北市","獨立愛遊理財新手"
"d8d44952","56-60歲","女","台北市","品味養生理財貴族"
"9b3e07e5","36-40歲","女","新北市","網購社媒手機迷"
"264c1ebb","51-55歲","男","新北市","運動科技潮人"
"a40e1bf6","26-30歲","女","新竹市","健康愛家定存控"
"8e476145","41-45歲","男","新竹市","運動科技潮人"
"ddd9eba1","26-30歲","女","基隆市","品味養生理財貴族"
"b60a1c20","36-40歲","男","新北市","運動科技潮人"
"a8bbdf4e","46-50歲","男","台中市","樂動廣告品牌控"
"1aa451f4","36-40歲","女","新北市","物質享樂衝購族"
"104288fe","36-40歲","男","台中市","運動科技潮人"
"49413a1f","41-45歲","女","高雄市","網購社媒手機迷"
"8e571d9e","41-45歲","女","桃園市","網購社媒手機迷"
"246848bf","31-35歲","男","台北市","運動科技潮人"
"e053165d","36-40歲","女","新北市","品味養生理財貴族"
"4f9884ae","36-40歲","男","基隆市","樂動廣告品牌控"
"6ca70584","31-35歲","男","台中市","運動科技潮人"
"de1c34a6","46-50歲","男","新竹縣","運動科技潮人"
"ecd3b7d6","31-35歲","女","宜蘭縣","傳統保健理財族"
"19b98f19","46-50歲","女","新北市","健康愛家定存控"
"c76c8f24","46-50歲","男","新竹市","運動科技潮人"
"c235193d","41-45歲","男","桃園市","樂動廣告品牌控"
"34b2fdb8","26-30歲","男","台北市","運動科技潮人"
"918b2f3f","41-45歲","女","高雄市","品味養生理財貴族"
"253f7b5c","56-60歲","女","新北市","愛搜愛比網購客"
"04d91cc7","41-45歲","女","台中市","網購社媒手機迷"
"894683e6","41-45歲","女","台北市","品味養生理財貴族"
"d0b6741b","46-50歲","女","新北市","網購社媒手機迷"
"8c65ee8b","41-45歲","男","桃園市","運動科技潮人"
"9cd6d923","31-35歲","女","台北市","運動科技潮人"
"1772fa38","41-45歲","女","台北市","獨立愛遊理財新手"
"5a9b3112","31-35歲","女","台中市","健康愛家定存控"
"581604b9","36-40歲","女","桃園市","健康愛家定存控"
"76fd6ac9","36-40歲","男","新竹縣","運動科技潮人"
"7254c19e","46-50歲","男","高雄市","樂動廣告品牌控"
"6414b5f2","36-40歲","女","新北市","健康愛家定存控"
"166debe3","56-60歲","女","新北市","運動科技潮人"
"c445aa3f","36-40歲","男","新竹縣","運動科技潮人"
"8e5e832c","21-25歲","女","新竹市","獨立愛遊理財新手"
"eeb8144e","31-35歲","女","桃園市","健康愛家定存控"
"85c1a6f7","46-50歲","男","新北市","樂動廣告品牌控"
"f3538dbf","51-55歲","男","台北市","樂動廣告品牌控"
"c2d91bb7","31-35歲","女","新竹縣","網購社媒手機迷"
"94116fcf","41-45歲","女","台北市","獨立愛遊理財新手"
"5f70a9dd","46-50歲","男","新竹市","運動科技潮人"
"3e699cfd","41-45歲","女","新竹市","健康愛家定存控"
"fd4d3a5a","41-45歲","女","新竹縣","樂動廣告品牌控"
"b7e63e54","41-45歲","女","新竹市","物質享樂衝購族"
